Step,Loss
1,2.746800
2,3.089500
3,2.904500
4,2.300300
5,2.114400
6,1.777700
7,1.765500
8,1.762900
9,1.330300
10,1.709300
11,1.509600
12,1.796900
13,1.566400
14,1.696900
15,1.378700
16,1.616600
17,1.466200
18,1.370200
19,0.855100
20,1.434200
21,1.590700
22,1.414800
23,1.124700
24,1.070400
25,1.215400
26,1.542200
27,0.999800
28,1.275200
29,1.079100
30,1.320200
31,1.643500
32,1.317800
33,1.483500
34,1.379400
35,1.508700
36,1.326900
37,1.161400
38,1.484200
39,1.248000
40,1.521300
41,1.364100
42,1.528800
43,1.304800
44,1.346100
45,0.927000
46,0.910000
47,0.788300
48,1.174600
49,1.567100
50,1.553800
51,1.305000
52,1.060800
53,1.160900
54,1.231400
55,0.967600
56,1.121900
57,1.262900
58,1.405300
59,0.969400
60,1.096800
61,0.574900
62,0.913600
63,1.609200
64,1.113900
65,1.441700
66,1.343600
67,0.930200
68,1.446200
69,1.322200
70,1.438300
71,1.142700
72,1.357000
73,1.025600
74,1.320200
75,1.497400
76,1.392100
77,1.051400
78,1.273400
79,0.948400
80,1.205400
81,1.202900
82,0.983000
83,1.290700
84,1.449000
85,0.851600
86,0.954800
87,0.842700
88,1.384900
89,1.511400
90,1.337200
91,0.925200
92,1.191600
93,1.148100
94,1.085500
95,1.135700
96,0.988600
97,1.135400
98,0.939300
99,1.236200
100,1.057400
101,1.144900
102,1.172200
103,0.906800
104,1.592500
105,1.276800
106,1.086600
107,1.298900
108,1.203400
109,1.323900
110,1.524700
111,1.151300
112,1.344300
113,1.019600
114,1.160300
115,1.250500
116,1.079500
117,1.269500
118,1.200300
119,1.217200
120,1.115900
121,0.939300
122,1.262700
123,1.085000
124,1.413800
125,0.995600
126,1.059000
127,1.264900
128,1.214400
129,1.115200
130,1.602200
131,1.120400
132,1.071400
133,1.218800
134,1.547000
135,1.036300
136,1.065300
137,1.085100
138,0.814700
139,1.390200
140,1.554900
141,1.182700
142,1.325000
143,0.971900
144,1.225800
145,1.205700
146,0.989700
147,1.268600
148,1.111100
149,1.094800
150,1.394700
151,1.070900
152,1.293200
153,1.155400
154,0.892900
155,1.150200
156,1.236400
157,0.794500
158,1.274100
159,0.908800
160,0.920700
161,1.392700
162,0.968700
163,1.455600
164,1.181500
165,1.253900
166,1.189000
167,1.237800
168,1.116700
169,1.151000
170,1.274200
171,1.126200
172,1.110900
173,1.170600
174,0.892700
175,1.239500
176,1.588600
177,1.167600
178,1.403800
179,1.255500
180,1.179000
181,1.275400
182,0.886700
183,0.943000
184,1.204800
185,1.505100
186,1.256700
187,1.357300
188,1.231900
189,1.477400
190,0.931200
191,0.906100
192,1.088500
193,0.887100
194,1.386300
195,0.938200
196,1.292300
197,1.119900
198,0.932800
199,1.199600
200,1.237800
201,0.964000
202,1.247500
203,1.133600
204,1.001600
205,1.288600
206,1.351500
207,1.036700
208,1.246100
209,1.707300
210,0.806000
211,1.290200
212,0.736300
213,1.077800
214,1.383300
215,1.188000
216,1.212800
217,0.795100
218,1.105600
219,1.304000
220,0.895400
221,0.861100
222,1.032200
223,0.695600
224,0.860900
225,0.748700
226,1.055000
227,0.842600
228,1.048600
229,1.004600
230,1.246200
231,1.205800
232,0.959800
233,0.893800
234,1.004200
235,1.305100
236,1.078200
237,1.442000
238,1.524400
239,1.347100
240,1.203200
241,1.228600
242,1.028400
243,1.139100
244,0.957300
245,1.311000
246,0.811300
247,1.198300
248,1.054100
249,1.013600
250,1.137800
